Image Number,Image Pair,SSIM,PSNR,Histogram
p1-nomor99,Original vs. bilap,0.98,43.70,0.28
p1-nomor100,Original vs. Original,1.00,100.00,1.00
p1-nomor100,Original vs. ns,0.97,42.45,0.97
p1-nomor100,Original vs. telea,0.97,42.23,0.99
p1-nomor100,Original vs. lap,0.45,28.42,-0.01
p1-nomor100,Original vs. bilap,0.96,41.67,0.21
p2-nomor1,Original vs. Original,1.00,100.00,1.00
p2-nomor1,Original vs. ns,0.45,30.50,0.02
p2-nomor1,Original vs. telea,0.47,30.51,0.04
p2-nomor1,Original vs. lap,0.44,27.86,-0.01
p2-nomor1,Original vs. bilap,0.44,30.50,0.00
p2-nomor2,Original vs. Original,1.00,100.00,1.00
p2-nomor2,Original vs. ns,0.82,30.92,0.39
p2-nomor2,Original vs. telea,0.71,30.99,0.42
p2-nomor2,Original vs. lap,0.49,27.82,-0.01
p2-nomor2,Original vs. bilap,0.69,30.93,0.04
p2-nomor3,Original vs. Original,1.00,100.00,1.00
p2-nomor3,Original vs. ns,0.87,36.26,0.88
p2-nomor3,Original vs. telea,0.87,36.30,0.92
p2-nomor3,Original vs. lap,0.75,29.04,-0.01
p2-nomor3,Original vs. bilap,0.84,36.61,0.05
p2-nomor4,Original vs. Original,1.00,100.00,1.00
p2-nomor4,Original vs. ns,0.59,30.92,0.04
p2-nomor4,Original vs. telea,0.69,30.98,0.16
p2-nomor4,Original vs. lap,0.60,29.13,0.04
p2-nomor4,Original vs. bilap,0.54,30.90,0.01
p2-nomor5,Original vs. Original,1.00,100.00,1.00
p2-nomor5,Original vs. ns,0.82,31.02,0.04
p2-nomor5,Original vs. telea,0.80,30.92,0.07
p2-nomor5,Original vs. lap,0.63,29.22,0.05
p2-nomor5,Original vs. bilap,0.62,30.73,0.00
p2-nomor6,Original vs. Original,1.00,100.00,1.00
p2-nomor6,Original vs. ns,0.70,33.01,0.79
p2-nomor6,Original vs. telea,0.69,31.55,0.97
p2-nomor6,Original vs. lap,0.68,30.55,0.37
p2-nomor6,Original vs. bilap,0.68,33.68,0.26
p2-nomor7,diff-shape,0.00,0.00,0.00
p2-nomor8,Original vs. Original,1.00,100.00,1.00
p2-nomor8,Original vs. ns,0.82,33.52,0.21
p2-nomor8,Original vs. telea,0.82,33.50,0.44
p2-nomor8,Original vs. lap,0.65,27.88,-0.02
p2-nomor8,Original vs. bilap,0.72,33.32,0.03
p2-nomor9,Original vs. Original,1.00,100.00,1.00
p2-nomor9,Original vs. ns,0.78,33.73,0.51
p2-nomor9,Original vs. telea,0.80,33.92,0.65
p2-nomor9,Original vs. lap,0.58,28.61,0.04
p2-nomor9,Original vs. bilap,0.73,33.54,0.26
p2-nomor10,Original vs. Original,1.00,100.00,1.00
p2-nomor10,Original vs. ns,0.84,35.27,0.99
p2-nomor10,Original vs. telea,0.83,34.49,0.99
p2-nomor10,Original vs. lap,0.37,28.56,0.13
p2-nomor10,Original vs. bilap,0.83,33.58,0.99
p2-nomor11,Original vs. Original,1.00,100.00,1.00
p2-nomor11,Original vs. ns,0.90,36.71,0.93
p2-nomor11,Original vs. telea,0.90,36.56,0.96
p2-nomor11,Original vs. lap,0.51,28.26,0.00
p2-nomor11,Original vs. bilap,0.91,36.12,0.94
p2-nomor12,Original vs. Original,1.00,100.00,1.00
p2-nomor12,Original vs. ns,0.57,30.97,0.54
p2-nomor12,Original vs. telea,0.57,30.95,0.56
p2-nomor12,Original vs. lap,0.32,28.44,0.40
p2-nomor12,Original vs. bilap,0.57,31.00,0.68
p2-nomor13,Original vs. Original,1.00,100.00,1.00
p2-nomor13,Original vs. ns,0.89,36.23,0.68
p2-nomor13,Original vs. telea,0.89,36.08,0.75
p2-nomor13,Original vs. lap,0.47,28.73,0.19
p2-nomor13,Original vs. bilap,0.88,35.55,0.83
p2-nomor14,Original vs. Original,1.00,100.00,1.00
p2-nomor14,Original vs. ns,0.76,32.37,0.88
p2-nomor14,Original vs. telea,0.75,32.35,0.91
p2-nomor14,Original vs. lap,0.42,29.45,0.69
p2-nomor14,Original vs. bilap,0.67,32.24,0.28
p2-nomor15,Original vs. Original,1.00,100.00,1.00
p2-nomor15,Original vs. ns,0.70,33.01,0.79
p2-nomor15,Original vs. telea,0.69,31.55,0.97
p2-nomor15,Original vs. lap,0.68,30.55,0.37
p2-nomor15,Original vs. bilap,0.68,33.68,0.26
p2-nomor16,Original vs. Original,1.00,100.00,1.00
p2-nomor16,Original vs. ns,0.85,33.87,0.39
p2-nomor16,Original vs. telea,0.85,33.91,0.55
p2-nomor16,Original vs. lap,0.37,28.28,-0.02
p2-nomor16,Original vs. bilap,0.84,33.69,0.02
p2-nomor17,Original vs. Original,1.00,100.00,1.00
p2-nomor17,Original vs. ns,0.59,33.99,0.86
p2-nomor17,Original vs. telea,0.59,33.99,0.86
p2-nomor17,Original vs. lap,0.45,28.67,0.00
p2-nomor17,Original vs. bilap,0.59,33.95,0.62
p2-nomor18,Original vs. Original,1.00,100.00,1.00
p2-nomor18,Original vs. ns,0.58,31.84,0.76
p2-nomor18,Original vs. telea,0.58,31.90,0.75
p2-nomor18,Original vs. lap,0.32,28.34,-0.01
p2-nomor18,Original vs. bilap,0.53,31.66,0.04
p2-nomor19,Original vs. Original,1.00,100.00,1.00
p2-nomor19,Original vs. ns,0.64,30.93,0.14
p2-nomor19,Original vs. telea,0.64,31.09,0.49
p2-nomor19,Original vs. lap,0.37,28.17,-0.01
p2-nomor19,Original vs. bilap,0.53,30.70,0.02
p2-nomor20,Original vs. Original,1.00,100.00,1.00
p2-nomor20,Original vs. ns,0.88,37.78,0.97
p2-nomor20,Original vs. telea,0.88,37.81,0.97
p2-nomor20,Original vs. lap,0.84,28.83,0.05
p2-nomor20,Original vs. bilap,0.87,37.85,0.45
p2-nomor21,Original vs. Original,1.00,100.00,1.00
p2-nomor21,Original vs. ns,0.75,31.83,0.42
p2-nomor21,Original vs. telea,0.73,31.91,0.53
p2-nomor21,Original vs. lap,0.51,27.83,-0.02
p2-nomor21,Original vs. bilap,0.63,31.55,0.01
p2-nomor22,Original vs. Original,1.00,100.00,1.00
p2-nomor22,Original vs. ns,0.70,31.81,0.41
p2-nomor22,Original vs. telea,0.67,31.63,0.54
p2-nomor22,Original vs. lap,0.49,28.46,-0.01
p2-nomor22,Original vs. bilap,0.57,31.14,0.01
p2-nomor23,Original vs. Original,1.00,100.00,1.00
p2-nomor23,Original vs. ns,0.77,33.09,0.37
p2-nomor23,Original vs. telea,0.78,33.10,0.36
p2-nomor23,Original vs. lap,0.67,29.43,0.01
p2-nomor23,Original vs. bilap,0.70,32.99,0.05
p2-nomor24,Original vs. Original,1.00,100.00,1.00
p2-nomor24,Original vs. ns,0.60,30.28,0.32
p2-nomor24,Original vs. telea,0.58,30.16,0.58
p2-nomor24,Original vs. lap,0.33,27.88,0.05
p2-nomor24,Original vs. bilap,0.44,30.38,0.02
p2-nomor25,Original vs. Original,1.00,100.00,1.00
p2-nomor25,Original vs. ns,0.70,31.92,0.72
p2-nomor25,Original vs. telea,0.71,32.10,0.77
p2-nomor25,Original vs. lap,0.42,27.80,0.11
p2-nomor25,Original vs. bilap,0.57,31.63,0.03
p2-nomor26,Original vs. Original,1.00,100.00,1.00
p2-nomor26,Original vs. ns,0.56,31.29,0.06
p2-nomor26,Original vs. telea,0.56,31.28,0.06
p2-nomor26,Original vs. lap,0.45,28.42,-0.01
p2-nomor26,Original vs. bilap,0.56,31.26,0.04
p2-nomor27,Original vs. Original,1.00,100.00,1.00
p2-nomor27,Original vs. ns,0.77,32.72,0.51
p2-nomor27,Original vs. telea,0.74,32.08,0.55
p2-nomor27,Original vs. lap,0.52,28.77,0.09
p2-nomor27,Original vs. bilap,0.58,31.13,0.01
p2-nomor28,Original vs. Original,1.00,100.00,1.00
p2-nomor28,Original vs. ns,0.42,29.58,-0.00
p2-nomor28,Original vs. telea,0.42,30.22,-0.00
p2-nomor28,Original vs. lap,0.30,28.57,0.48
p2-nomor28,Original vs. bilap,0.82,35.91,1.00
p2-nomor29,diff-shape,0.00,0.00,0.00
p2-nomor30,Original vs. Original,1.00,100.00,-1.00
p2-nomor30,Original vs. ns,0.93,36.78,-1.13
p2-nomor30,Original vs. telea,0.92,36.64,-1.09
p2-nomor30,Original vs. lap,0.76,27.97,
p2-nomor30,Original vs. bilap,0.95,37.40,-1.24
p2-nomor31,Original vs. Original,1.00,100.00,1.00
p2-nomor31,Original vs. ns,0.78,33.69,0.90
p2-nomor31,Original vs. telea,0.78,33.25,0.96
p2-nomor31,Original vs. lap,0.45,28.84,0.00
p2-nomor31,Original vs. bilap,0.79,33.11,0.74
p2-nomor32,Original vs. Original,1.00,100.00,1.00
p2-nomor32,Original vs. ns,0.79,33.35,0.91
p2-nomor32,Original vs. telea,0.78,33.22,0.95
p2-nomor32,Original vs. lap,0.49,28.08,0.01
p2-nomor32,Original vs. bilap,0.80,33.26,0.37
p2-nomor33,Original vs. Original,1.00,100.00,1.00
p2-nomor33,Original vs. ns,0.65,35.11,0.70
p2-nomor33,Original vs. telea,0.66,35.08,0.76
p2-nomor33,Original vs. lap,0.31,30.21,0.86
p2-nomor33,Original vs. bilap,0.64,36.08,0.28
p2-nomor34,Original vs. Original,1.00,100.00,1.00
p2-nomor34,Original vs. ns,0.84,35.07,0.52
p2-nomor34,Original vs. telea,0.84,34.84,0.72
p2-nomor34,Original vs. lap,0.44,28.19,0.03
p2-nomor34,Original vs. bilap,0.83,34.67,0.43
p2-nomor35,Original vs. Original,1.00,100.00,1.00
p2-nomor35,Original vs. ns,0.91,38.13,1.00
p2-nomor35,Original vs. telea,0.91,38.10,1.00
p2-nomor35,Original vs. lap,0.50,28.34,-0.00
p2-nomor35,Original vs. bilap,0.91,37.22,0.92
p2-nomor36,Original vs. Original,1.00,100.00,1.00
p2-nomor36,Original vs. ns,0.93,38.90,0.93
p2-nomor36,Original vs. telea,0.93,38.79,0.94
p2-nomor36,Original vs. lap,0.47,28.53,0.01
p2-nomor36,Original vs. bilap,0.93,38.53,0.89
p2-nomor37,Original vs. Original,1.00,100.00,1.00
p2-nomor37,Original vs. ns,0.72,33.24,0.34
p2-nomor37,Original vs. telea,0.73,33.00,0.62
p2-nomor37,Original vs. lap,0.37,28.28,0.01
p2-nomor37,Original vs. bilap,0.72,33.44,0.08
p2-nomor38,Original vs. Original,1.00,100.00,1.00
p2-nomor38,Original vs. ns,0.90,36.99,0.97
p2-nomor38,Original vs. telea,0.90,36.92,0.98
p2-nomor38,Original vs. lap,0.55,27.84,-0.02
p2-nomor38,Original vs. bilap,0.91,37.08,0.82
p2-nomor39,Original vs. Original,1.00,100.00,1.00
p2-nomor39,Original vs. ns,0.87,35.25,0.47
p2-nomor39,Original vs. telea,0.86,35.19,0.64
p2-nomor39,Original vs. lap,0.71,28.61,-0.03
p2-nomor39,Original vs. bilap,0.86,34.74,0.16
p2-nomor40,Original vs. Original,1.00,100.00,1.00
p2-nomor40,Original vs. ns,0.91,36.50,0.50
p2-nomor40,Original vs. telea,0.91,35.58,0.54
p2-nomor40,Original vs. lap,0.49,28.24,-0.01
p2-nomor40,Original vs. bilap,0.92,35.19,0.44
p2-nomor41,Original vs. Original,1.00,100.00,1.00
p2-nomor41,Original vs. ns,0.82,34.31,0.30
p2-nomor41,Original vs. telea,0.82,34.23,0.72
p2-nomor41,Original vs. lap,0.48,28.33,-0.05
p2-nomor41,Original vs. bilap,0.83,33.96,0.21
p2-nomor42,Original vs. Original,1.00,100.00,1.00
p2-nomor42,Original vs. ns,0.90,37.64,0.75
p2-nomor42,Original vs. telea,0.90,37.65,0.81
p2-nomor42,Original vs. lap,0.44,28.75,0.04
p2-nomor42,Original vs. bilap,0.89,37.38,0.51
p2-nomor43,Original vs. Original,1.00,100.00,1.00
p2-nomor43,Original vs. ns,0.92,38.12,0.98
p2-nomor43,Original vs. telea,0.93,38.02,1.00
p2-nomor43,Original vs. lap,0.68,28.87,0.01
p2-nomor43,Original vs. bilap,0.93,37.70,0.59
p2-nomor44,Original vs. Original,1.00,100.00,1.00
p2-nomor44,Original vs. ns,0.82,37.18,0.97
p2-nomor44,Original vs. telea,0.82,37.25,0.97
p2-nomor44,Original vs. lap,0.39,29.00,0.21
p2-nomor44,Original vs. bilap,0.80,37.25,0.48
p2-nomor45,Original vs. Original,1.00,100.00,1.00
p2-nomor45,Original vs. ns,0.87,35.55,0.46
p2-nomor45,Original vs. telea,0.88,35.52,0.64
p2-nomor45,Original vs. lap,0.53,28.04,-0.05
p2-nomor45,Original vs. bilap,0.84,35.42,0.01
p2-nomor46,Original vs. Original,1.00,100.00,1.00
p2-nomor46,Original vs. ns,0.89,36.24,0.23
p2-nomor46,Original vs. telea,0.89,36.12,-0.29
p2-nomor46,Original vs. lap,0.60,27.87,-0.08
p2-nomor46,Original vs. bilap,0.90,36.21,0.34
p2-nomor47,Original vs. Original,1.00,100.00,1.00
p2-nomor47,Original vs. ns,0.74,33.01,0.71
p2-nomor47,Original vs. telea,0.74,33.00,0.74
p2-nomor47,Original vs. lap,0.32,28.08,0.00
p2-nomor47,Original vs. bilap,0.77,32.91,0.38
p2-nomor48,Original vs. Original,1.00,100.00,1.00
p2-nomor48,Original vs. ns,0.89,37.07,0.98
p2-nomor48,Original vs. telea,0.89,37.07,0.98
p2-nomor48,Original vs. lap,0.35,28.76,0.24
p2-nomor48,Original vs. bilap,0.89,36.82,0.84
p2-nomor49,Original vs. Original,1.00,100.00,1.00
p2-nomor49,Original vs. ns,0.82,33.62,0.56
p2-nomor49,Original vs. telea,0.82,33.43,0.77
p2-nomor49,Original vs. lap,0.29,28.16,-0.00
p2-nomor49,Original vs. bilap,0.80,33.32,0.15
p2-nomor50,Original vs. Original,1.00,100.00,-1.00
p2-nomor50,Original vs. ns,0.90,37.17,-1.63
p2-nomor50,Original vs. telea,0.90,37.22,-1.11
p2-nomor50,Original vs. lap,0.45,27.96,
p2-nomor50,Original vs. bilap,0.91,37.15,-1.24
p2-nomor51,Original vs. Original,1.00,100.00,1.00
p2-nomor51,Original vs. ns,0.95,40.18,0.50
p2-nomor51,Original vs. telea,0.95,39.37,0.61
p2-nomor51,Original vs. lap,0.65,28.47,0.06
p2-nomor51,Original vs. bilap,0.89,37.91,0.01
p2-nomor52,Original vs. Original,1.00,100.00,1.00
p2-nomor52,Original vs. ns,0.98,43.55,0.16
p2-nomor52,Original vs. telea,0.98,40.91,0.16
p2-nomor52,Original vs. lap,0.85,28.21,0.00
p2-nomor52,Original vs. bilap,0.91,39.40,0.15
p2-nomor53,Original vs. Original,1.00,100.00,1.00
p2-nomor53,Original vs. ns,0.97,41.49,0.98
p2-nomor53,Original vs. telea,0.97,39.43,0.98
p2-nomor53,Original vs. lap,0.54,28.74,0.08
p2-nomor53,Original vs. bilap,0.97,41.73,0.91
p2-nomor54,Original vs. Original,1.00,100.00,1.00
p2-nomor54,Original vs. ns,0.79,36.00,0.22
p2-nomor54,Original vs. telea,0.79,35.03,0.22
p2-nomor54,Original vs. lap,0.71,27.79,0.01
p2-nomor54,Original vs. bilap,0.99,47.32,0.99
p2-nomor55,Original vs. Original,1.00,100.00,1.00
p2-nomor55,Original vs. ns,0.87,36.23,0.93
p2-nomor55,Original vs. telea,0.87,36.30,0.95
p2-nomor55,Original vs. lap,0.43,28.37,0.01
p2-nomor55,Original vs. bilap,0.83,35.96,0.19
p2-nomor56,Original vs. Original,1.00,100.00,1.00
p2-nomor56,Original vs. ns,0.92,37.88,0.90
p2-nomor56,Original vs. telea,0.92,38.07,0.92
p2-nomor56,Original vs. lap,0.62,28.05,-0.01
p2-nomor56,Original vs. bilap,0.94,37.91,0.66
p2-nomor57,Original vs. Original,1.00,100.00,1.00
p2-nomor57,Original vs. ns,0.92,38.70,1.00
p2-nomor57,Original vs. telea,0.93,39.61,1.00
p2-nomor57,Original vs. lap,0.32,30.13,0.27
p2-nomor57,Original vs. bilap,0.85,39.43,0.99
p2-nomor58,Original vs. Original,1.00,100.00,1.00
p2-nomor58,Original vs. ns,0.89,36.08,0.87
p2-nomor58,Original vs. telea,0.89,35.84,0.95
p2-nomor58,Original vs. lap,0.69,28.29,-0.01
p2-nomor58,Original vs. bilap,0.85,35.38,0.14
p2-nomor59,Original vs. Original,1.00,100.00,1.00
p2-nomor59,Original vs. ns,0.78,35.54,0.73
p2-nomor59,Original vs. telea,0.79,35.45,0.78
p2-nomor59,Original vs. lap,0.46,28.43,0.06
p2-nomor59,Original vs. bilap,0.76,36.51,0.05
p2-nomor60,Original vs. Original,1.00,100.00,1.00
p2-nomor60,Original vs. ns,0.88,36.30,0.97
p2-nomor60,Original vs. telea,0.89,36.55,0.98
p2-nomor60,Original vs. lap,0.51,28.63,0.00
p2-nomor60,Original vs. bilap,0.84,35.88,0.18
p2-nomor61,Original vs. Original,1.00,100.00,1.00
p2-nomor61,Original vs. ns,0.86,35.49,0.10
p2-nomor61,Original vs. telea,0.86,35.53,0.23
p2-nomor61,Original vs. lap,0.59,28.41,-0.07
p2-nomor61,Original vs. bilap,0.86,35.38,-0.88
p2-nomor62,Original vs. Original,1.00,100.00,1.00
p2-nomor62,Original vs. ns,0.87,34.82,0.84
p2-nomor62,Original vs. telea,0.87,34.45,0.81
p2-nomor62,Original vs. lap,0.55,28.64,0.08
p2-nomor62,Original vs. bilap,0.86,34.65,0.74
p2-nomor63,Original vs. Original,1.00,100.00,1.00
p2-nomor63,Original vs. ns,0.87,35.10,0.95
p2-nomor63,Original vs. telea,0.86,34.54,0.94
p2-nomor63,Original vs. lap,0.31,28.33,0.00
p2-nomor63,Original vs. bilap,0.64,33.19,0.29
p2-nomor64,Original vs. Original,1.00,100.00,1.00
p2-nomor64,Original vs. ns,0.95,41.11,0.99
p2-nomor64,Original vs. telea,0.95,41.01,0.99
p2-nomor64,Original vs. lap,0.25,27.90,-0.00
p2-nomor64,Original vs. bilap,0.78,35.71,0.19
p2-nomor65,Original vs. Original,1.00,100.00,1.00
p2-nomor65,Original vs. ns,0.92,37.62,1.00
p2-nomor65,Original vs. telea,0.94,37.26,1.00
p2-nomor65,Original vs. lap,0.53,29.19,0.01
p2-nomor65,Original vs. bilap,0.82,37.38,0.97
p2-nomor66,Original vs. Original,1.00,100.00,1.00
p2-nomor66,Original vs. ns,0.90,38.96,1.00
p2-nomor66,Original vs. telea,0.90,38.94,1.00
p2-nomor66,Original vs. lap,0.47,30.79,0.00
p2-nomor66,Original vs. bilap,0.89,38.88,0.99
p2-nomor67,Original vs. Original,1.00,100.00,1.00
p2-nomor67,Original vs. ns,0.63,31.29,0.41
p2-nomor67,Original vs. telea,0.72,31.14,0.54
p2-nomor67,Original vs. lap,0.30,28.33,0.20
p2-nomor67,Original vs. bilap,0.54,32.54,0.28
p2-nomor68,Original vs. Original,1.00,100.00,1.00
p2-nomor68,Original vs. ns,0.91,38.11,0.95
p2-nomor68,Original vs. telea,0.91,38.13,0.96
p2-nomor68,Original vs. lap,0.55,27.99,-0.01
p2-nomor68,Original vs. bilap,0.89,38.20,0.35
p2-nomor69,Original vs. Original,1.00,100.00,1.00
p2-nomor69,Original vs. ns,0.84,35.51,0.97
p2-nomor69,Original vs. telea,0.84,35.49,0.99
p2-nomor69,Original vs. lap,0.37,28.15,-0.00
p2-nomor69,Original vs. bilap,0.81,35.93,0.17
p2-nomor70,Original vs. Original,1.00,100.00,1.00
p2-nomor70,Original vs. ns,0.79,35.13,0.99
p2-nomor70,Original vs. telea,0.78,35.12,0.96
p2-nomor70,Original vs. lap,0.36,28.54,0.05
p2-nomor70,Original vs. bilap,0.76,35.28,0.34
p2-nomor71,Original vs. Original,1.00,100.00,1.00
p2-nomor71,Original vs. ns,0.81,35.86,0.88
p2-nomor71,Original vs. telea,0.81,35.80,0.89
p2-nomor71,Original vs. lap,0.26,28.09,0.07
p2-nomor71,Original vs. bilap,0.80,35.85,0.08
p2-nomor72,Original vs. Original,1.00,100.00,1.00
p2-nomor72,Original vs. ns,0.87,36.43,0.98
p2-nomor72,Original vs. telea,0.87,36.41,0.99
p2-nomor72,Original vs. lap,0.39,28.17,-0.01
p2-nomor72,Original vs. bilap,0.88,36.42,0.74
p2-nomor73,Original vs. Original,1.00,100.00,1.00
p2-nomor73,Original vs. ns,0.93,38.87,0.99
p2-nomor73,Original vs. telea,0.93,38.86,1.00
p2-nomor73,Original vs. lap,0.57,28.07,-0.01
p2-nomor73,Original vs. bilap,0.93,38.65,0.84
p2-nomor74,Original vs. Original,1.00,100.00,1.00
p2-nomor74,Original vs. ns,0.96,40.63,0.99
p2-nomor74,Original vs. telea,0.96,40.47,0.99
p2-nomor74,Original vs. lap,0.65,29.11,0.15
p2-nomor74,Original vs. bilap,0.95,39.98,0.95
p2-nomor75,Original vs. Original,1.00,100.00,1.00
p2-nomor75,Original vs. ns,0.86,34.12,0.98
p2-nomor75,Original vs. telea,0.86,33.90,0.99
p2-nomor75,Original vs. lap,0.56,28.34,0.00
p2-nomor75,Original vs. bilap,0.69,33.05,0.01
p2-nomor76,Original vs. Original,1.00,100.00,1.00
p2-nomor76,Original vs. ns,0.95,39.26,1.00
p2-nomor76,Original vs. telea,0.94,38.49,1.00
p2-nomor76,Original vs. lap,0.41,28.19,0.02
p2-nomor76,Original vs. bilap,0.96,38.41,0.99
p2-nomor77,Original vs. Original,1.00,100.00,1.00
p2-nomor77,Original vs. ns,0.92,34.95,0.87
p2-nomor77,Original vs. telea,0.87,34.40,0.86
p2-nomor77,Original vs. lap,0.68,28.24,0.02
p2-nomor77,Original vs. bilap,0.78,33.41,0.08
p2-nomor78,Original vs. Original,1.00,100.00,1.00
p2-nomor78,Original vs. ns,0.86,35.12,0.78
p2-nomor78,Original vs. telea,0.85,34.81,0.77
p2-nomor78,Original vs. lap,0.56,29.78,0.22
p2-nomor78,Original vs. bilap,0.83,34.07,0.50
p2-nomor79,Original vs. Original,1.00,100.00,1.00
p2-nomor79,Original vs. ns,0.82,35.48,0.89
p2-nomor79,Original vs. telea,0.83,35.59,0.95
p2-nomor79,Original vs. lap,0.66,27.73,-0.01
p2-nomor79,Original vs. bilap,0.78,35.38,0.05
p2-nomor80,Original vs. Original,1.00,100.00,1.00
p2-nomor80,Original vs. ns,0.87,34.19,0.35
p2-nomor80,Original vs. telea,0.89,34.10,0.85
p2-nomor80,Original vs. lap,0.59,28.65,0.00
p2-nomor80,Original vs. bilap,0.77,33.57,0.02
p2-nomor81,Original vs. Original,1.00,100.00,1.00
p2-nomor81,Original vs. ns,0.92,37.48,0.96
p2-nomor81,Original vs. telea,0.92,36.70,0.97
p2-nomor81,Original vs. lap,0.54,28.76,0.04
p2-nomor81,Original vs. bilap,0.90,36.27,0.39
p2-nomor82,Original vs. Original,1.00,100.00,1.00
p2-nomor82,Original vs. ns,0.79,33.82,0.47
p2-nomor82,Original vs. telea,0.80,33.79,0.76
p2-nomor82,Original vs. lap,0.60,28.76,-0.02
p2-nomor82,Original vs. bilap,0.74,33.57,0.03
p2-nomor83,Original vs. Original,1.00,100.00,1.00
p2-nomor83,Original vs. ns,0.85,34.76,0.79
p2-nomor83,Original vs. telea,0.86,34.84,0.93
p2-nomor83,Original vs. lap,0.78,28.59,-0.03
p2-nomor83,Original vs. bilap,0.78,34.70,0.02
p2-nomor84,Original vs. Original,1.00,100.00,1.00
p2-nomor84,Original vs. ns,0.74,32.51,0.54
p2-nomor84,Original vs. telea,0.80,32.56,0.79
p2-nomor84,Original vs. lap,0.62,29.03,0.08
p2-nomor84,Original vs. bilap,0.66,32.64,0.03
p2-nomor85,Original vs. Original,1.00,100.00,1.00
p2-nomor85,Original vs. ns,0.89,36.18,0.89
p2-nomor85,Original vs. telea,0.90,36.11,0.94
p2-nomor85,Original vs. lap,0.69,29.48,-0.01
p2-nomor85,Original vs. bilap,0.78,35.46,0.05
p2-nomor86,Original vs. Original,1.00,100.00,1.00
p2-nomor86,Original vs. ns,0.95,37.58,0.99
p2-nomor86,Original vs. telea,0.94,36.92,1.00
p2-nomor86,Original vs. lap,0.82,31.27,0.00
p2-nomor86,Original vs. bilap,0.90,36.34,0.32
p2-nomor87,Original vs. Original,1.00,100.00,1.00
p2-nomor87,Original vs. ns,0.72,32.56,0.26
p2-nomor87,Original vs. telea,0.76,32.99,0.83
p2-nomor87,Original vs. lap,0.60,29.08,0.08
p2-nomor87,Original vs. bilap,0.64,32.07,0.02
p2-nomor88,Original vs. Original,1.00,100.00,1.00
p2-nomor88,Original vs. ns,0.93,37.22,0.94
p2-nomor88,Original vs. telea,0.92,36.36,0.94
p2-nomor88,Original vs. lap,0.79,28.79,-0.00
p2-nomor88,Original vs. bilap,0.91,35.57,0.42
p2-nomor89,Original vs. Original,1.00,100.00,1.00
p2-nomor89,Original vs. ns,0.86,34.39,0.85
p2-nomor89,Original vs. telea,0.84,33.89,0.88
p2-nomor89,Original vs. lap,0.68,29.47,0.07
p2-nomor89,Original vs. bilap,0.87,33.74,0.72
p2-nomor90,Original vs. Original,1.00,100.00,-1.00
p2-nomor90,Original vs. ns,0.86,36.81,
p2-nomor90,Original vs. telea,0.86,36.81,-1.17
p2-nomor90,Original vs. lap,0.53,28.08,
p2-nomor90,Original vs. bilap,0.84,36.92,
p2-nomor91,Original vs. Original,1.00,100.00,1.00
p2-nomor91,Original vs. ns,0.86,37.33,1.00
p2-nomor91,Original vs. telea,0.86,37.32,1.00
p2-nomor91,Original vs. lap,0.48,29.31,0.26
p2-nomor91,Original vs. bilap,0.84,37.61,0.96
p2-nomor92,Original vs. Original,1.00,100.00,1.00
p2-nomor92,Original vs. ns,0.97,41.74,0.95
p2-nomor92,Original vs. telea,0.97,40.99,0.95
p2-nomor92,Original vs. lap,0.76,28.07,-0.00
p2-nomor92,Original vs. bilap,0.92,38.61,0.34
p2-nomor93,Original vs. Original,1.00,100.00,1.00
p2-nomor93,Original vs. ns,0.90,36.61,0.97
p2-nomor93,Original vs. telea,0.91,36.32,0.99
p2-nomor93,Original vs. lap,0.72,28.17,-0.01
p2-nomor93,Original vs. bilap,0.91,36.38,0.60
p2-nomor94,Original vs. Original,1.00,100.00,1.00
p2-nomor94,Original vs. ns,0.81,35.90,0.95
p2-nomor94,Original vs. telea,0.81,35.93,0.96
p2-nomor94,Original vs. lap,0.57,27.86,-0.01
p2-nomor94,Original vs. bilap,0.78,35.76,0.08
p2-nomor95,Original vs. Original,1.00,100.00,1.00
p2-nomor95,Original vs. ns,0.90,38.61,0.92
p2-nomor95,Original vs. telea,0.90,38.72,0.95
p2-nomor95,Original vs. lap,0.72,29.02,0.04
p2-nomor95,Original vs. bilap,0.88,38.40,0.13
p2-nomor96,Original vs. Original,1.00,100.00,1.00
p2-nomor96,Original vs. ns,0.93,37.49,0.97
p2-nomor96,Original vs. telea,0.92,36.18,0.98
p2-nomor96,Original vs. lap,0.81,30.52,0.00
p2-nomor96,Original vs. bilap,0.94,36.89,0.77
p2-nomor97,Original vs. Original,1.00,100.00,1.00
p2-nomor97,Original vs. ns,0.94,39.60,0.96
p2-nomor97,Original vs. telea,0.94,39.59,0.98
p2-nomor97,Original vs. lap,0.55,28.43,-0.04
p2-nomor97,Original vs. bilap,0.91,38.62,0.14
p2-nomor98,Original vs. Original,1.00,100.00,1.00
p2-nomor98,Original vs. ns,0.82,34.74,0.57
p2-nomor98,Original vs. telea,0.81,34.67,0.76
p2-nomor98,Original vs. lap,0.42,28.27,-0.01
p2-nomor98,Original vs. bilap,0.80,34.65,0.05
p2-nomor99,Original vs. Original,1.00,100.00,1.00
p2-nomor99,Original vs. ns,0.87,35.05,0.84
p2-nomor99,Original vs. telea,0.89,33.91,0.75
p2-nomor99,Original vs. lap,0.47,28.30,-0.00
p2-nomor99,Original vs. bilap,0.88,34.02,0.41
p2-nomor100,Original vs. Original,1.00,100.00,1.00
